time_s,max_C_1d,max_C_2d,difference_2d_minus_1d
1.512000000000000000e+05,1.720725407574157095e-01,1.720698122983121414e-01,-2.728459103568114941e-06
1.518000000000000000e+05,1.717478037004610547e-01,1.717450819906199688e-01,-2.721709841085884207e-06
1.524000000000000000e+05,1.714257155505028996e-01,1.714230005513397992e-01,-2.714999163100362267e-06
1.530000000000000000e+05,1.711062414157813738e-01,1.711035330814197897e-01,-2.708334361584130434e-06
1.536000000000000000e+05,1.707893470197732466e-01,1.707866453452919764e-01,-2.701674481270233130e-06
1.542000000000000000e+05,1.704749987630856667e-01,1.704723036929921276e-01,-2.695070093539086997e-06
1.548000000000000000e+05,1.701631635692404665e-01,1.701604750701671553e-01,-2.688499073311145793e-06
1.554000000000000000e+05,1.698538089783319938e-01,1.698511270167689380e-01,-2.681961563055779152e-06
1.560000000000000000e+05,1.695469031163170381e-01,1.695442276578714436e-01,-2.675458445594580681e-06
1.566000000000000000e+05,1.692424146140180663e-01,1.692397456448170023e-01,-2.668969201063964292e-06
1.572000000000000000e+05,1.689403127235543922e-01,1.689376501777784811e-01,-2.662545775911073775e-06
1.578000000000000000e+05,1.686405671482076873e-01,1.686379110244071167e-01,-2.656123800570675542e-06
1.584000000000000000e+05,1.683431481940726171e-01,1.683404984318969677e-01,-2.649762175649383877e-06
1.590000000000000000e+05,1.680480265985911936e-01,1.680453831889089089e-01,-2.643409682284714179e-06
1.596000000000000000e+05,1.677551736739250898e-01,1.677525365763277154e-01,-2.637097597374404856e-06
1.602000000000000000e+05,1.674645611558051861e-01,1.674619303337689658e-01,-2.630822036220337168e-06
1.608000000000000000e+05,1.671761612987043011e-01,1.671735367406523287e-01,-2.624558051972369910e-06
1.614000000000000000e+05,1.668899468353935434e-01,1.668873284776186683e-01,-2.618357774875068600e-06
1.620000000000000000e+05,1.666058909001761623e-01,1.666032787412930760e-01,-2.612158883086301842e-06
1.626000000000000000e+05,1.663239671327245983e-01,1.663213611254618918e-01,-2.606007262706544481e-06
1.632000000000000000e+05,1.660441496011935969e-01,1.660415497189478007e-01,-2.599882245796214519e-06
1.638000000000000000e+05,1.657664127669640775e-01,1.657638189782033311e-01,-2.593788760746340571e-06
1.644000000000000000e+05,1.654907315543999446e-01,1.654881438444895103e-01,-2.587709910434332627e-06
1.650000000000000000e+05,1.652170813017064532e-01,1.652144996085042061e-01,-2.581693202247103969e-06
1.656000000000000000e+05,1.649454377019276829e-01,1.649428620279786428e-01,-2.575673949040124810e-06
1.662000000000000000e+05,1.646757768929134336e-01,1.646732071933314223e-01,-2.569699582011253369e-06
1.668000000000000000e+05,1.644080753833954966e-01,1.644055116292933993e-01,-2.563754102097304255e-06
1.674000000000000000e+05,1.641423100769524301e-01,1.641397522382960217e-01,-2.557838656408462086e-06
1.680000000000000000e+05,1.638784582030737014e-01,1.638759062517378129e-01,-2.551951335888480443e-06
1.686000000000000000e+05,1.636164974070558331e-01,1.636139513151761982e-01,-2.546091879634948540e-06
